Date,Series,Value,Series,Value
1/1/2017,Volume Intensity,0,Average Tone,0
1/2/2017,Volume Intensity,0.0002,Average Tone,-0.1075
1/3/2017,Volume Intensity,0.0007,Average Tone,0.5723
1/4/2017,Volume Intensity,0.0004,Average Tone,0.1528
1/5/2017,Volume Intensity,0.0002,Average Tone,-0.5166
1/6/2017,Volume Intensity,0.0005,Average Tone,-0.6713
1/7/2017,Volume Intensity,0.0002,Average Tone,-4.6239
1/8/2017,Volume Intensity,0.0002,Average Tone,-6.5147
1/9/2017,Volume Intensity,0,Average Tone,0
1/10/2017,Volume Intensity,0.0007,Average Tone,-1.0085
1/11/2017,Volume Intensity,0.0002,Average Tone,-1.2958
1/12/2017,Volume Intensity,0.0003,Average Tone,-0.1292
1/13/2017,Volume Intensity,0.0001,Average Tone,-1.7995
1/14/2017,Volume Intensity,0.0002,Average Tone,-1.5038
1/15/2017,Volume Intensity,0.0002,Average Tone,-1.8473
1/16/2017,Volume Intensity,0,Average Tone,0
1/17/2017,Volume Intensity,0.0002,Average Tone,1.5751
1/18/2017,Volume Intensity,0.0007,Average Tone,-2.948
1/19/2017,Volume Intensity,0.0003,Average Tone,-1.8563
1/20/2017,Volume Intensity,0.0001,Average Tone,-1.8145
1/21/2017,Volume Intensity,0.0004,Average Tone,-1.3661
1/22/2017,Volume Intensity,0.0002,Average Tone,-1.6774
1/23/2017,Volume Intensity,0.0002,Average Tone,-0.3407
1/24/2017,Volume Intensity,0.0003,Average Tone,-2.567
1/25/2017,Volume Intensity,0,Average Tone,0
1/26/2017,Volume Intensity,0,Average Tone,0
1/27/2017,Volume Intensity,0.0002,Average Tone,0.4957
1/28/2017,Volume Intensity,0.0002,Average Tone,-1.6143
1/29/2017,Volume Intensity,0.0004,Average Tone,-0.5065
1/30/2017,Volume Intensity,0.0004,Average Tone,-2.0444
1/31/2017,Volume Intensity,0.0005,Average Tone,-1.8496
2/1/2017,Volume Intensity,0,Average Tone,0
2/2/2017,Volume Intensity,0.0001,Average Tone,1.5738
2/3/2017,Volume Intensity,0.0001,Average Tone,-2.8432
2/4/2017,Volume Intensity,0.0002,Average Tone,-5.1471
2/5/2017,Volume Intensity,0.0004,Average Tone,-0.9486
2/6/2017,Volume Intensity,0.0004,Average Tone,-3.7393
2/7/2017,Volume Intensity,0.0002,Average Tone,-1.8295
2/8/2017,Volume Intensity,0.0001,Average Tone,2.716
2/9/2017,Volume Intensity,0.0002,Average Tone,-0.4518
2/10/2017,Volume Intensity,0.0006,Average Tone,-3.3712
2/11/2017,Volume Intensity,0.0002,Average Tone,-5.6928
2/12/2017,Volume Intensity,0.0002,Average Tone,-0.8715
2/13/2017,Volume Intensity,0,Average Tone,0
2/14/2017,Volume Intensity,0.0002,Average Tone,-2.3965
2/15/2017,Volume Intensity,0.0002,Average Tone,-4.195
2/16/2017,Volume Intensity,0.0001,Average Tone,0.652
2/17/2017,Volume Intensity,0,Average Tone,0
2/18/2017,Volume Intensity,0.0002,Average Tone,-6.0887
2/19/2017,Volume Intensity,0,Average Tone,0
2/20/2017,Volume Intensity,0.0001,Average Tone,-4.4302
2/21/2017,Volume Intensity,0,Average Tone,0
2/22/2017,Volume Intensity,0.0001,Average Tone,-2.2654
2/23/2017,Volume Intensity,0.0001,Average Tone,-1.7287
2/24/2017,Volume Intensity,0.001,Average Tone,-3.4671
2/25/2017,Volume Intensity,0.0007,Average Tone,-2.0351
2/26/2017,Volume Intensity,0.01,Average Tone,-4.414
2/27/2017,Volume Intensity,0.0005,Average Tone,-0.9155
2/28/2017,Volume Intensity,0.0001,Average Tone,1.5075
3/1/2017,Volume Intensity,0.0007,Average Tone,-2.1587
3/2/2017,Volume Intensity,0.0003,Average Tone,-2.621
3/3/2017,Volume Intensity,0.0002,Average Tone,-2.8971
3/4/2017,Volume Intensity,0.0002,Average Tone,-3.9683
3/5/2017,Volume Intensity,0.0002,Average Tone,1.519
3/6/2017,Volume Intensity,0.0002,Average Tone,-1.6779
3/7/2017,Volume Intensity,0,Average Tone,0
3/8/2017,Volume Intensity,0.0001,Average Tone,5.7709
3/9/2017,Volume Intensity,0,Average Tone,0
3/10/2017,Volume Intensity,0.0001,Average Tone,-2.7853
3/11/2017,Volume Intensity,0.0002,Average Tone,-1.9672
3/12/2017,Volume Intensity,0,Average Tone,0
3/13/2017,Volume Intensity,0.0001,Average Tone,-2.4025
3/14/2017,Volume Intensity,0.0005,Average Tone,2.3968
3/15/2017,Volume Intensity,0,Average Tone,0
3/16/2017,Volume Intensity,0.0004,Average Tone,-1.2227
3/17/2017,Volume Intensity,0.0001,Average Tone,-4.9638
3/18/2017,Volume Intensity,0,Average Tone,0
3/19/2017,Volume Intensity,0.0002,Average Tone,-0.8897
3/20/2017,Volume Intensity,0.0025,Average Tone,-1.4594
3/21/2017,Volume Intensity,0.0009,Average Tone,-2.966
3/22/2017,Volume Intensity,0,Average Tone,0
3/23/2017,Volume Intensity,0.0003,Average Tone,1.0169
3/24/2017,Volume Intensity,0,Average Tone,0
3/25/2017,Volume Intensity,0,Average Tone,0
3/26/2017,Volume Intensity,0.0009,Average Tone,-2.8827
3/27/2017,Volume Intensity,0.0007,Average Tone,-2.6059
3/28/2017,Volume Intensity,0.0002,Average Tone,0.2759
3/29/2017,Volume Intensity,0,Average Tone,0
3/30/2017,Volume Intensity,0.0002,Average Tone,-3.2248
3/31/2017,Volume Intensity,0.0007,Average Tone,3.1646
4/1/2017,Volume Intensity,0.0002,Average Tone,2.3622
