"Date","""critical race theory"" (station:CNN OR station:FOXNEWS OR station:MSNBC): Combined","evolution (station:CNN OR station:FOXNEWS OR station:MSNBC): Combined"
"06/2009",0,0
"07/2009",0,0.0156
"08/2009",0,0.0151
"09/2009",0,0.0182
"10/2009",0,0.0237
"11/2009",0,0.0209
"12/2009",0,0.0321
"01/2010",0,0.0259
"02/2010",0,0.0246
"03/2010",0,0.0161
"04/2010",0.0017,0.0123
"05/2010",0,0.0228
"06/2010",0,0.0136
"07/2010",0,0.0099
"08/2010",0,0.0169
"09/2010",0,0.0453
"10/2010",0,0.0581
"11/2010",0,0.0283
"12/2010",0,0.0159
"01/2011",0,0.024
"02/2011",0,0.0349
"03/2011",0,0.0166
"04/2011",0,0.0122
"05/2011",0.0012,0.0212
"06/2011",0,0.0408
"07/2011",0,0.0182
"08/2011",0,0.0742
"09/2011",0,0.0558
"10/2011",0,0.0345
"11/2011",0,0.0209
"12/2011",0,0.0212
"01/2012",0,0.0171
"02/2012",0,0.0131
"03/2012",0.0098,0.028
"04/2012",0,0.0212
"05/2012",0,0.1087
"06/2012",0,0.025
"07/2012",0,0.0236
"08/2012",0,0.022
"09/2012",0,0.0256
"10/2012",0,0.0326
"11/2012",0,0.0273
"12/2012",0,0.0202
"01/2013",0.0005,0.0348
"02/2013",0,0.0319
"03/2013",0,0.0543
"04/2013",0,0.0284
"05/2013",0,0.0249
"06/2013",0,0.0166
"07/2013",0.0011,0.0192
"08/2013",0,0.0237
"09/2013",0,0.017
"10/2013",0,0.0202
"11/2013",0,0.0216
"12/2013",0,0.0332
"01/2014",0,0.0332
"02/2014",0,0.038
"03/2014",0,0.0174
"04/2014",0,0.0187
"05/2014",0,0.0509
"06/2014",0,0.0666
"07/2014",0,0.0131
"08/2014",0,0.0138
"09/2014",0,0.0185
"10/2014",0,0.0384
"11/2014",0,0.0252
"12/2014",0,0.0155
"01/2015",0.0006,0.0268
"02/2015",0,0.1036
"03/2015",0,0.0436
"04/2015",0,0.0489
"05/2015",0,0.0497
"06/2015",0,0.0627
"07/2015",0,0.0589
"08/2015",0,0.0574
"09/2015",0,0.0436
"10/2015",0,0.0545
"11/2015",0,0.0547
"12/2015",0,0.0306
"01/2016",0,0.0271
"02/2016",0,0.0312
"03/2016",0,0.03
"04/2016",0,0.0375
"05/2016",0,0.0275
"06/2016",0,0.0244
"07/2016",0,0.0343
"08/2016",0,0.0469
"09/2016",0.0003,0.0324
"10/2016",0,0.0232
"11/2016",0,0.0204
"12/2016",0,0.0286
"01/2017",0,0.0294
"02/2017",0,0.0298
"03/2017",0,0.0269
"04/2017",0,0.0578
"05/2017",0,0.0233
"06/2017",0,0.0243
"07/2017",0,0.0324
"08/2017",0,0.0307
"09/2017",0,0.0273
"10/2017",0,0.0315
"11/2017",0,0.0311
"12/2017",0,0.0265
"01/2018",0,0.0456
"02/2018",0,0.0388
"03/2018",0,0.0484
"04/2018",0,0.0635
"05/2018",0,0.0443
"06/2018",0,0.0147
"07/2018",0,0.0208
"08/2018",0,0.0194
"09/2018",0,0.0138
"10/2018",0,0.0139
"11/2018",0,0.0115
"12/2018",0,0.0161
"01/2019",0,0.0245
"02/2019",0,0.023
"03/2019",0,0.0233
"04/2019",0,0.0191
"05/2019",0,0.0283
"06/2019",0,0.0484
"07/2019",0,0.0409
"08/2019",0,0.0162
"09/2019",0,0.0391
"10/2019",0.0007,0.0343
"11/2019",0.0002,0.0327
"12/2019",0,0.0153
"01/2020",0,0.0119
"02/2020",0,0.012
"03/2020",0,0.0151
"04/2020",0,0.0152
"05/2020",0,0.016
"06/2020",0.0015,0.013
"07/2020",0.0032,0.0164
"08/2020",0.001,0.0173
"09/2020",0.031,0.011
"10/2020",0.0073,0.0151
"11/2020",0.0015,0.0121
"12/2020",0.0057,0.0101
"01/2021",0.0077,0.0223
"02/2021",0.0151,0.0277
"03/2021",0.0415,0.016
"04/2021",0.0778,0.0166
"05/2021",0.206,0.0376
"06/2021",0.4919,0.0237
"07/2021",0.3796,0.0203
"08/2021",0.0955,0.0168
"09/2021",0.0785,0.0179
"10/2021",0.2552,0.0358
"11/2021",0.3171,0.0158
"12/2021",0.0777,0.0243
"01/2022",0.0909,0.0163
"02/2022",0.0678,0.0149
"03/2022",0.0563,0.0085
"04/2022",0.0725,0.0163
"05/2022",0.0421,0.0145
"06/2022",0.0245,0.0165
"07/2022",0.0602,0.0149
"08/2022",0.0344,0.0254
"09/2022",0.0265,0.0182
"10/2022",0.0183,0.0267
